199	31.769614	35.182558	הפסגה/הרשד''ם
200	31.732231	35.202069	הרוזמרין/כביש המנהרות
201	31.734036	35.194675	תחנת רקל''ה הרוזמרין/דב יוסף
202	31.751193	35.18933	אצטדיון טדי/א''ס ביתר
203	31.783061	35.203237	חניון הלאום
205	31.725077	35.23191	כביש 398/אהרון כהן
207	31.770693	35.243402	3 שכונת בזבז
210	31.793299	35.222176	שמואל הנביא/תדהר
211	31.791394	35.22416	שמואל הנביא/יקים
212	31.749549	35.193687	דרך דוד בנבנישתי/דוד איילון
213	31.789828	35.225822	זקס
214	31.791505	35.224204	שמואל הנביא/יקים
215	31.792975	35.222797	שמואל הנביא/תדהר
220	31.754234	35.232383	על''ר/ינובסקי
221	31.782889	35.202207	משרד החוץ/שד' רבין
222	31.751345	35.188474	אצטדיון טדי/א''ס ביתר
223	31.732731	35.195877	רוזמרין/לבונה
224	31.731185	35.202031	כביש 60/הרוזמרין
225	32.099029	34.887698	מרדכי בן דרור/דורני שלום
227	31.787712	35.192306	אנג'ל/כנפי נשרים
228	31.787703	35.188761	מרכז שטנר/כנפי נשרים
229	31.787728	35.185498	בית ענבר/כנפי נשרים
230	31.787754	35.179644	רוזנטל/כנפי נשרים
232	31.788077	35.173651	קצנלבוגן/מעלות בוסטון
234	31.783625	35.174993	דבר ירושלים/קצנלבוגן
235	31.782684	35.177453	ישיבת ויזניץ/קצנלבוגן
236	31.784417	35.177826	קצנלבוגן/הפלאה
237	31.785614	35.178884	כפר שאול/קצנלבוגן
239	31.771694	35.25023	מכללת ולקאן/דרך יריחו
241	31.75195	35.241849	משטרת עוז
242	31.766926	35.183562	הפסגה/תורה ועבודה
244	31.771715	35.250334	דרך יריחו/אל ופא
246	31.786182	35.230219	צומת עמר בן אלעס
253	31.786631	35.230661	צ.אדין/פ.דלמאן
254	31.78718	35.23007	משרד המשפטים/צלאח א דין
255	31.787402	35.229997	משרד המשפטים/צלאח א דין
256	31.789166	35.228845	דרך שכם/לואי ונסן
257	31.789365	35.229001	דרך שכם/לואי ונסן
260	31.733209	35.225621	אל משאהד/אל שיפא
261	31.73522	35.239922	אל מקפה/חלימה אל סעדייה
263	31.792394	35.22901	דרך שכם/טובלר
264	31.792304	35.229086	דרך שכם/טובלר
265	31.793122	35.230291	בית ספר א סכאכיני
266	31.744178	35.239479	צומת גזיל
268	31.746084	35.239956	אבו רביע/ברזני
272	31.728897	35.243596	אל מקפה/דיר אל עמוד
273	31.790632	35.17594	שאולזון/רוזנטל
274	31.73218	35.247998	אל ח'ולפאא אלראשדין/אל מונטאר
275	31.73503	35.246726	בית ספר אבו חאמד ג'זאלי
